id,group
steven satya yudha,Orang
thomas adam shippey,Orang
michael matthias winter,Orang
satriadi indarmawan,Orang
vidvant brahmantyo,Orang
wahyuni,Orang
ashmore investment management limited,Orang
pt adikarsa sarana,Orang
AMRT,Perusahaan
tomin widian,Orang
anggara hans prawira,Orang
bambang setyawan djojo,Orang
harryanto susanto,Orang
solihin,Orang
soeng peter suryadi,Orang
feny djoko susanto,Orang
budiyanto djoko susanto,Orang
imam santoso hadiwidjaja,Orang
"komjen. pol.(purn) drs. setyo wasisto, s.h.",Orang
"drs. setyo wasisto,sh.",Orang
juninho widjaja,Orang
edwin sutanto,Orang
pt sigmantara alfindo,Orang
ANDI,Perusahaan
kahar anwar,Orang
francis indarto,Orang
billy ching,Orang
wilson,Orang
andre handhika tessaputra the,Orang
sugino sutrisno,Orang
dhanny cahyadi,Orang
pt anugerah perkasa semesta,Orang
pt central energi pratama,Orang
ANJT,Perusahaan
naga waskita,Orang
lucas kurniawan,Orang
geetha govindan k. gopalakrishnan,Orang
aloysius d'cruz,Orang
nopri pitoy,Orang
adrianto machribie,Orang
george santosa tahija,Orang
sjakon george tahija,Orang
anastasius wahyuhadi,Orang
istama tatang siddharta,Orang
josep kristiadi,Orang
darwin cyril noerhadi,Orang
istini tatiek siddharta,Orang
"prof. dr. irawan soerodjo, s.h., msi.",Orang
osman sitorus,Orang
pt memimpin dengan nurani,Orang
pt austindo kencana jaya,Orang
istini t. siddharta,Orang
geetha govindan,Orang
ANTM,Perusahaan
yulan kustiyan,Orang
dana amin,Orang
luki setiawan suardi ,Orang
anton herdianto ,Orang
risono,Orang
agus surya bakti ,Orang
gumilar rusliwa somantri ,Orang
anang sri kusuwardono ,Orang
dadan kusdiana ,Orang
arif baharudin ,Orang
bambang sunarwibowo,Orang
prof. dr. der soz. gumilar rusliwa somantri,Orang
"komjen. pol. drs. bambang sunarwibowo, s.h., m.hum.",Orang
"drs. mursyid amal, m.m.",Orang
"sahid junaidi, s.kom, m.m.",Orang
pt indonesia asahan aluminium (persero),Orang
agus surya bakti,Orang
gumilar rusliwa somantri,Orang
anang sri kusuwardono,Orang
anton herdianto,Orang
luki setiawan suardi,Orang
APEX,Perusahaan
frieda salvantina,Orang
zainal abidinsyah siregar,Orang
erwin sutanto,Orang
donald kent wood,Orang
mahar atanta sembiring,Orang
irawan sastrotanojo,Orang
eka dharmajanto kasih,Orang
robinson p. simbolon,Orang
jeanne watulo,Orang
loh wing kiong anthony @adam loh,Orang
pt aserra capital,Orang
cdh bowman limited,Orang
cdh archer limited,Orang
standard chartered bank singapore s/a augusta investments i pte.ltd. id134190500001,Orang
APIC,Perusahaan
wiyana,Orang
jon adijaya,Orang
agus herlambang,Orang
leon tangi,Orang
henny suwanti,Orang
ayuning mahastuti,Orang
pt pan pacific investama,Orang
pt pacific indocorpora,Orang
APII,Perusahaan
veronica fajar soedjadi,Orang
harianto,Orang
low yew lean,Orang
chan chein liang,Orang
bernadetha melinda kirana putri,Orang
lim cheah chooi,Orang
sim yee fuan,Orang
toni setioko,Orang
wahyudi susanto,Orang
"arita globall,pt",Orang
"arita engineering , sdn.bhd",Orang
APLI,Perusahaan
hendri yanti panca dewi hastuti,Orang
wilson agung pranoto,Orang
rofie soeandy,Orang
albert sugianto,Orang
alexander agung pranoto,Orang
susanto tjioe,Orang
agustinus virdian,Orang
agnes tjiandra,Orang
pt maco amangraha,Orang
APLN,Perusahaan
f. justini omas,Orang
bacelius ruru,Orang
noer indradjaja,Orang
cesar manikan dela cruz,Orang
miarni ang,Orang
paul christian ariyanto,Orang
anak agung mas wirajaya,Orang
letjen. tni (purn) sofian effendi,Orang
indaryono,Orang
ardhi kusuma putra,Orang
yassirli,Orang
pt indofica,Orang
trihatma k. haliman,Orang
cesar m. dela cruz,Orang
letjen. tni (purn) sofian effendi s.e.,Orang
ARCI,Perusahaan
harry margatan sopandi,Orang
kenneth ronald kennedy crichton,Orang
rudy suhendra,Orang
shawn david crispin,Orang
christian emanuel david sompie,Orang
adam jaya putra,Orang
rizki indrakusuma,Orang
abed nego,Orang
ali abbas badre alam,Orang
dr. ir. bambang setiawan,Orang
hamid awaluddin,Orang
herwan ng,Orang
pt rajawali corpora,Orang
pt basis utama prima,Orang
pt wijaya anugerah cemerlang,Orang
ARGO,Perusahaan
widarsono,Orang
surjanto purnadi,Orang
djoenaedy widjaja,Orang
the nicholas,Orang
jantini,Orang
ir. doddy soepardi har,Orang
maria brigita winardi,Orang
aldo cahyo,Orang
the ning king,Orang
lintas dirgaprama,Orang
pt. dharma manunggal,Orang
pt. manunggal prime development,Orang
ARII,Perusahaan
lidwina s. nugraha,Orang
abdi andre,Orang
hans jurgen kaschull,Orang
ika riawan,Orang
joko kus sulistyoko,Orang
jay t. oentoro,Orang
aulia setiadi,Orang
pranata hajadi,Orang
manish dahiya,Orang
edwind a. satyabrata,Orang
notariza taher,Orang
reynold m. batubara,Orang
justinus supartono,Orang
calorie viva utama,Orang
db spore dcs a/c db sg dcs ac japet res pte ltd,Orang
yap suci kuswardani m.,Orang
ARKA,Perusahaan
doddy prasetio nugroho,Orang
dwi hartanto,Orang
baharaja sianipar,Orang
tatit jatmiko,Orang
ferinato,Orang
"wawan setyawan, se",Orang
"ferianto, se,.mm.",Orang
"teddy noer setiadi, se, ak, m.ak",Orang
"veronika sonny putri simamora, ak",Orang
pt arkha tanto prima,Orang
pt jaf asia investment,Orang
wawan setyawan,Orang
ferianto,Orang
ARMY,Perusahaan
yudi darmawan,Orang
bambang irianto,Orang
devi henita,Orang
raden agus santosa,Orang
rony agng suseno,Orang
monang situmeang,Orang
wiwik sukarno ar,Orang
wiwik sukarno,Orang
hendrik siahaan,Orang
maya tirani,Orang
pt mandiri mega jaya,Orang
pt asabri,Orang
pt gasa perdana ciptadaya,Orang
retail development group limited,Orang
ARNA,Perusahaan
rudy sujanto,Orang
"tandean rustandy, m.b.a.",Orang
edy suyanto. s.e.,Orang
"hatta safrudin, s.h., m.si.",Orang
prof. dr. marsetio,Orang
"edwin pamimpin situmorang, s.h., m.h.",Orang
"drs. karsanto, m.b.a.",Orang
"prof. dr. ir. alex s.w. retraubun, m.sc.",Orang
"drs. h. karsanto, m.ba.",Orang
"lukman sidharta, s.e., m.ba.",Orang
"dr. ir. wicaksono sarwo edi, m.m.",Orang
pt suprakreasi eradinamika,Orang
tandean rustandy,Orang
dr. marsetio,Orang
"edwin pamimpin situmorang, s.h.,  m.h.",Orang
"drs. karsanto, m.b.a. ",Orang
"prof. dr. ir. alex s. w. retraubun, m.sc",Orang
"tandean rustandy, mba",Orang
"edy suyanto,se",Orang
ARTA,Perusahaan
tsun tien wen lie,Orang
chan shih mei,Orang
yeremy vincentius,Orang
"henry f. jusuf, ma",Orang
inggrid,Orang
ervina,Orang
andre salim,Orang
lucas sh cn,Orang
ARTO,Perusahaan
tjit siat fun ,Orang
kharim indra gupta siregar,Orang
arief harris tandjung,Orang
peterjan van nieuwenhuizen,Orang
sonny christian joseph,Orang
tjit siat fun,Orang
umakanth rama pai,Orang
jerry ng,Orang
anika faisal,Orang
teguh dartanto,Orang
arief t surowidjojo,Orang
nita skolastika ruslim,Orang
pt metamorfosis ekosistem indonesia,Orang
wealth track technology limited,Orang
pt dompet karya anak bangsa,Orang
gic private limited ,Orang
ASBI,Perusahaan
bob setyanegara,Orang
hastanto sri margi widodo,Orang
reniwati darmakusumah,Orang
jenry cardo manurung,Orang
zafar dinesh idham,Orang
shanti l.poeposoetjipto,Orang
petronius saragih,Orang
chaerul d.djakman,Orang
krishna suparto,Orang
ronald waas,Orang
bapak chaerul d. djakman,Orang
bapak taufik hidayat,Orang
bapak yan rahadian,Orang
pt. srihana utama,Orang
pt. ngrumat bondo utomo,Orang
pt. warisan kasih bunda,Orang
ASDM,Perusahaan
purnama hadiwidjaja,Orang
dewi mandrawan,Orang
johny dharma setiawan,Orang
victor maria s. sandjaja,Orang
