code,industri,sub-industri
KJEN,Logistik & Pengantaran,Logistik & Pengantaran
KKGI,Batu Bara,Produksi Batu Bara
KLBF,Farmasi,Farmasi
KMDS,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
KMTR,Perhutanan & Kertas,Produk Hutan Lainnya
KOBX,Mesin,Mesin Konstruksi & Kendaraan Berat
KOIN,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
KONI,Jasa Komersial,Peralatan Kantor
KOPI,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
KOTA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
KPAL,Mesin,Mesin Konstruksi & Kendaraan Berat
KPAS,Produk Perawatan Tubuh,Produk Perawatan Tubuh
KPIG,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
KRAH,Mesin,Mesin & Komponen Perindustrian
KRAS,Logam & Mineral,Baja & Besi
KREN,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
KUAS,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
LABA,Mesin,Mesin & Komponen Perindustrian
LAND,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
LAPD,Utilitas Listrik,Utilitas Listrik
LCGP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
LCKM,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
LEAD,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
LFLO,Barang Rumah Tangga,Produsen Furnitur Rumah
LIFE,Asuransi,Asuransi Jiwa
LINK,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel
LION,Jasa Komersial,Peralatan Kantor
LMAS,Jasa & Konsultan TI,Jasa & Konsultan TI
LMPI,Barang Rumah Tangga,Perlengkapan Rumah Tangga
LMSH,Logam & Mineral,Baja & Besi
LPCK,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
LPGI,Asuransi,Asuransi Umum
LPKR,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
LPLI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
LPPF,Department Store,Department Store
LPPS,Perusahaan Holding & Investasi,Perusahaan Investasi
LRNA,Pengangkutan Darat Penumpang,Transportasi Jalanan
LSIP,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
LTLS,Barang Kimia,Barang Kimia Dasar
LUCK,Perangkat Komputer,Perangkat Komputer
LUCY,Pariwisata & Rekreasi,Rumah Makan
MABA,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
MAGP,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
MAIN,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
MAMI,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
MAPA,Ritel Khusus,Ritel Pakaian & Tekstil
MAPB,Pariwisata & Rekreasi,Rumah Makan
MAPI,Ritel Khusus,Ritel Pakaian & Tekstil
MARI,Media,Penyiaran
MARK,Mesin,Mesin & Komponen Perindustrian
MASA,Komponen Otomotif,Ban
MASB,Bank,Bank
MAYA,Bank,Bank
MBAP,Batu Bara,Produksi Batu Bara
MBSS,Batu Bara,Distribusi Batu Bara
MBTO,Produk Perawatan Tubuh,Produk Perawatan Tubuh
MCAS,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
MCOL,Batu Bara,Produksi Batu Bara
MCOR,Bank,Bank
MDIA,Media,Penyiaran
MDKI,Barang Kimia,Barang Kimia Dasar
MDLN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MDRN,Jasa Komersial,Peralatan Kantor
MEDC,Minyak & Gas,Produksi & Penyulingan Minyak & Gas
MEGA,Bank,Bank
MERK,Farmasi,Farmasi
META,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel
MFIN,Pembiayaan Konsumen,Pembiayaan Konsumen
MFMI,Jasa Komersial,Jasa Pendukung Bisnis
MGLV,Barang Rumah Tangga,Produsen Furnitur Rumah
MGNA,Perusahaan Holding & Investasi,Perusahaan Investasi
MGRO,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
MICE,Barang Rumah Tangga,Perlengkapan Rumah Tangga
MIDI,Perdagangan Ritel Barang Primer,Supermarket
MIKA,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
MINA,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
MIRA,Logistik & Pengantaran,Logistik & Pengantaran
MITI,Minyak & Gas,Produksi & Penyulingan Minyak & Gas
MKNT,Distributor Barang Konsumen,Distributor Barang Konsumen
MKPI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MLBI,Minuman,Minuman Keras
MLIA,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
MLPL,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
MLPT,Jasa & Konsultan TI,Jasa & Konsultan TI
MMLP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MNCN,Media,Penyiaran
MOLI,Barang Kimia,Barang Kimia Dasar
MPMX,Ritel Khusus,Ritel Otomotif
MPOW,Utilitas Listrik,Utilitas Listrik
MPPA,Perdagangan Ritel Barang Primer,Supermarket
MPRO,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MRAT,Produk Perawatan Tubuh,Produk Perawatan Tubuh
MREI,Asuransi,Reasuransi
MSIN,Hiburan & Film,Hiburan & Film
MSKY,Media,Penyiaran Berbayar
MTDL,Perangkat Komputer,Perangkat Komputer
MTEL,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
MTFN,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
MTLA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MTPS,Konstruksi Bangunan,Konstruksi Bangunan
MTRA,Konstruksi Bangunan,Konstruksi Bangunan
MTSM,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MTWI,Asuransi,Asuransi Umum
MYOH,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
MYOR,Makanan Olahan,Makanan Olahan
