code,industri,sub-industri
VIVA,Media,Penyiaran
VOKS,Kelistrikan,Komponen & Peralatan Kelistrikan
VRNA,Pembiayaan Konsumen,Pembiayaan Konsumen
WAPO,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
WEGE,Konstruksi Bangunan,Konstruksi Bangunan
WEHA,Pengangkutan Darat Penumpang,Transportasi Jalanan
WIKA,Konstruksi Bangunan,Konstruksi Bangunan
WINS,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
WMPP,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
WMUU,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
WOMF,Pembiayaan Konsumen,Pembiayaan Konsumen
WOOD,Barang Rumah Tangga,Produsen Furnitur Rumah
WOWS,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
WSBP,Material Konstruksi,Material Konstruksi
WSKT,Konstruksi Bangunan,Konstruksi Bangunan
WTON,Material Konstruksi,Material Konstruksi
YELO,Pendidikan & Jasa Penunjang,Jasa Penunjang Konsumen
YPAS,Wadah & Kemasan,Wadah & Kemasan
YULE,Jasa Investasi,Bank Investasi & Perantara Perdagangan
ZBRA,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
ZINC,Logam & Mineral,Logam & Mineral Lainnya
ZONE,Ritel Khusus,Ritel Pakaian & Tekstil
ZYRX,Perangkat Komputer,Perangkat Komputer
AGRO,Bank,Bank
AGRS,Bank,Bank
AHAP,Asuransi,Asuransi Umum
AKKU,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
AKPI,Barang Kimia,Barang Kimia Khusus
AKRA,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
AKSI,Logistik & Pengantaran,Logistik & Pengantaran
ALDO,Wadah & Kemasan,Wadah & Kemasan
TBMS,Logam & Mineral,Tembaga
TCID,Produk Perawatan Tubuh,Produk Perawatan Tubuh
TCPI,Batu Bara,Distribusi Batu Bara
TDPM,Barang Kimia,Barang Kimia Dasar
WGSH,Perangkat Lunak,Perangkat Lunak
WICO,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
WIFI,Media,Periklanan
WIIM,Rokok,Rokok
ARTI,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
ATAP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BBLD,Pembiayaan Konsumen,Pembiayaan Konsumen
COWL,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
CTTH,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
DOID,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
ENVY,Jasa & Konsultan TI,Jasa & Konsultan TI
GHON,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
INCF,Perhutanan & Kertas,Produk Hutan Lainnya
ISSP,Logam & Mineral,Baja & Besi
LPIN,Komponen Otomotif,Suku Cadang Otomotif
MDKA,Logam & Mineral,Emas
PLAS,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
PWON,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
TRST,Wadah & Kemasan,Wadah & Kemasan
