code,name,listing_date,shares,listing_board
AALI,Astra Agro Lestari Tbk.,1997-12-09T00:00:00,1924688333,UTAMA
ABBA,Mahaka Media Tbk.,2002-04-03T00:00:00,2755125000,Pengembangan
